image_key,ranSel_key,sample_order,camera,file,image_number,operation_id,platfrom,source_path,random_seed,sample_size,sample_base,scorable,quadrat,copied,dest_file,total_pairs,RanSelNo,OpsNo,ImageNo
014_0095,014_057,57,SCS,MRITC_SCS_IN2018_V06_014_20181125T025754Z_0095.JPG,95,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S057_MRITC_SCS_IN2018_V06_014_20181125T025754Z_0095.JPG,163,57,14,95
022_0024,022_057,57,SCS,MRITC_SCS_IN2018_V06_022_20181126T041345Z_0024.JPG,24,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S057_MRITC_SCS_IN2018_V06_022_20181126T041345Z_0024.JPG,201,57,22,24
012_0101,012_058,58,SCS,MRITC_SCS_IN2018_V06_012_20181124T232732Z_0101.JPG,101,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S058_MRITC_SCS_IN2018_V06_012_20181124T232732Z_0101.JPG,263,58,12,101
013_0211,013_058,58,SCS,MRITC_SCS_IN2018_V06_013_20181125T023816Z_0211.JPG,211,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S058_MRITC_SCS_IN2018_V06_013_20181125T023816Z_0211.JPG,219.5,58,13,211
015_0425,015_058,58,SCS,MRITC_SCS_IN2018_V06_015_20181125T060432Z_0425.JPG,425,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S058_MRITC_SCS_IN2018_V06_015_20181125T060432Z_0425.JPG,527,58,15,425
021_0149,021_058,58,SCS,MRITC_SCS_IN2018_V06_021_20181126T023802Z_0149.JPG,149,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S058_MRITC_SCS_IN2018_V06_021_20181126T023802Z_0149.JPG,180,58,21,149
014_0054,014_059,59,SCS,MRITC_SCS_IN2018_V06_014_20181125T025124Z_0054.JPG,54,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S059_MRITC_SCS_IN2018_V06_014_20181125T025124Z_0054.JPG,163,59,14,54
022_0125,022_059,59,SCS,MRITC_SCS_IN2018_V06_022_20181126T044725Z_0125.JPG,125,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S059_MRITC_SCS_IN2018_V06_022_20181126T044725Z_0125.JPG,201,59,22,125
012_0232,012_060,60,SCS,MRITC_SCS_IN2018_V06_012_20181124T234232Z_0232.JPG,232,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S060_MRITC_SCS_IN2018_V06_012_20181124T234232Z_0232.JPG,263,60,12,232
013_0011,013_060,60,SCS,MRITC_SCS_IN2018_V06_013_20181125T021311Z_0011.JPG,11,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S060_MRITC_SCS_IN2018_V06_013_20181125T021311Z_0011.JPG,219.5,60,13,11
